Total Pressure [bar], Mole Fraction Gas 1, Mole Fraction Gas 2, Partial Pressure Gas 1, Partial Pressure Gas 2, loading Gas 1 [mmol/g], loading Gas 2 [mmol/g], Selectivity 
5.0,0.05,0.95,0.25,4.75,0.357322763088931,2.3897505604858695,2.840937715821422,
5.0,0.1,0.9,0.5,4.5,0.8049016060067288,2.4209926555522596,2.9922083561249315,
5.0,0.2,0.8,1.0,4.0,1.9715637417119618,2.378622331898323,3.315471674964899,
5.0,0.3,0.7,1.5,3.5,3.4107634595994964,2.1852505705261747,3.6418926871542032,
5.0,0.4,0.6,2.0,3.0,4.948852669558534,1.8823049252027175,3.9437175693190842,
5.0,0.5,0.5,2.5,2.5,6.443446544182766,1.5321759835303723,4.2054219707425915,
5.0,0.6,0.4,3.0,2.0,7.826014656862344,1.1793142469531381,4.424048228073526,
5.0,0.7,0.30000000000000004,3.5,1.5000000000000002,9.078735247706032,0.8451928266813018,4.603548932151905,
5.0,0.8,0.19999999999999996,4.0,0.9999999999999998,10.20614661376982,0.537155200059416,4.750092064938072,
5.0,0.9,0.09999999999999998,4.5,0.4999999999999999,11.219937931132598,0.25600034299655294,4.869758202404558,
5.0,0.95,0.050000000000000044,4.75,0.2500000000000002,11.688244843416667,0.12500476099290508,4.921178812280375,
10.0,0.05,0.95,0.5,9.5,0.9710467793133748,4.580889737342868,4.027577580956124,
10.0,0.1,0.9,1.0,9.0,2.1068286182629863,4.484132273294582,4.228567849635603,
10.0,0.2,0.8,2.0,8.0,4.59169205296638,4.018459082030491,4.570599783881576,
10.0,0.3,0.7,3.0,7.0,6.993758461785803,3.3811925635870503,4.82633551247805,
10.0,0.4,0.6,4.0,6.0,9.111424265202073,2.7282433937505144,5.009500409351274,
10.0,0.5,0.5,5.0,5.0,10.913942223179866,2.123819686052128,5.138827130596617,
10.0,0.6,0.4,6.0,4.0,12.43212465206965,1.5848198576430959,5.229668887229615,
10.0,0.7,0.30000000000000004,7.0,3.0000000000000004,13.71003376216633,1.1100836019165188,5.293050672102453,
10.0,0.8,0.19999999999999996,8.0,1.9999999999999996,14.789301129651074,0.6928215346591892,5.336620034813937,
10.0,0.9,0.09999999999999998,9.0,0.9999999999999998,15.705262870328067,0.32522049697681127,5.365680281641819,
10.0,0.95,0.050000000000000044,9.5,0.5000000000000004,16.111266743613676,0.15773152257392178,5.3759793459244225,
20.0,0.05,0.95,1.0,19.0,2.0693687819941706,7.9696955714468,4.933438988404364,
20.0,0.1,0.9,2.0,18.0,4.148837534313795,7.359080797843759,5.073940460032019,
20.0,0.2,0.8,4.0,16.0,7.84014105461389,5.9682651552022845,5.254552772528862,
